page,route_header,source,destination,total_stations,intermediate_stations
547,90 Hidasnémeti — Miskolc[— Budapest],Hidasnémeti,Budapest,3,['Miskolc[']
548,92 Miskolc — Bánréve — Ózd,Miskolc,Ózd,3,['Bánréve']
549,92 Ózd — Bánréve — Miskolc,Ózd,Miskolc,3,['Bánréve']
550,94 Miskolc — Tornanádaska,Miskolc,Tornanádaska,2,[]
551,94 Tornanádaska — Miskolc,Tornanádaska,Miskolc,2,[]
552,98 Szerencs — Hidasnémeti,Szerencs,Hidasnémeti,2,[]
553,98 Hidasnémeti — Szerencs,Hidasnémeti,Szerencs,2,[]
610,101 Püspökladány — Biharkeresztes[— Oradea],Püspökladány,Oradea,3,['Biharkeresztes[']
610,101 Püspökladány — Biharkeresztes[— Oradea],Püspökladány,Oradea,3,['Biharkeresztes[']
612,102 Kál-Kápolna — Kisújszállás,Kál,Kisújszállás,2,[]
613,102 Kisújszállás — Kál-Kápolna,Kisújszállás,Kál,2,[]
614,103 Karcag — Tiszafüred,Karcag,Tiszafüred,2,[]
619,106 Debrecen — Sáránd — Nagykereki,Debrecen,Nagykereki,3,['Sáránd']
619,106 Debrecen — Sáránd — Nagykereki,Debrecen,Nagykereki,3,['Sáránd']
620,106 Nagykereki — Sáránd — Debrecen,Nagykereki,Debrecen,3,['Sáránd']
620,106 Nagykereki — Sáránd — Debrecen,Nagykereki,Debrecen,3,['Sáránd']
621,108 Debrecen — Füzesabony,Debrecen,Füzesabony,2,[]
622,108 Debrecen — Füzesabony,Debrecen,Füzesabony,2,[]
623,108 Füzesabony — Debrecen,Füzesabony,Debrecen,2,[]
624,108 Füzesabony — Debrecen,Füzesabony,Debrecen,2,[]
625,109 Debrecen — Tiszalök,Debrecen,Tiszalök,2,[]
626,109 Tiszalök — Debrecen,Tiszalök,Debrecen,2,[]
627,110 Debrecen — Nyírbátor — Mátészalka,Debrecen,Mátészalka,3,['Nyírbátor']
628,110 Debrecen — Nyírbátor — Mátészalka,Debrecen,Mátészalka,3,['Nyírbátor']
629,110 Mátészalka — Nyírbátor — Debrecen,Mátészalka,Debrecen,3,['Nyírbátor']
630,110 Mátészalka — Nyírbátor — Debrecen,Mátészalka,Debrecen,3,['Nyírbátor']
631,111 Mátészalka — Záhony,Mátészalka,Záhony,2,[]
632,111 Mátészalka — Záhony,Mátészalka,Záhony,2,[]
633,111 Záhony — Mátészalka,Záhony,Mátészalka,2,[]
634,111 Záhony — Mátészalka,Záhony,Mátészalka,2,[]
635,113 Nyíregyháza — Mátészalka — Zajta,Nyíregyháza,Zajta,3,['Mátészalka']
636,113 Nyíregyháza — Mátészalka — Zajta,Nyíregyháza,Zajta,3,['Mátészalka']
637,113 Nyíregyháza — Mátészalka — Zajta,Nyíregyháza,Zajta,3,['Mátészalka']
638,113 Zajta — Mátészalka — Nyíregyháza,Zajta,Nyíregyháza,3,['Mátészalka']
639,113 Zajta — Mátészalka — Nyíregyháza,Zajta,Nyíregyháza,3,['Mátészalka']
640,113 Zajta — Mátészalka — Nyíregyháza,Zajta,Nyíregyháza,3,['Mátészalka']
642,115 Tiborszállás — Mátészalka,Tiborszállás,Mátészalka,2,[]
642,115 Mátészalka — Tiborszállás,Mátészalka,Tiborszállás,2,[]
643,116 Nyíregyháza — Vásárosnamény,Nyíregyháza,Vásárosnamény,2,[]
644,116 Vásárosnamény — Nyíregyháza,Vásárosnamény,Nyíregyháza,2,[]
645,117 Tiszalök — Görögszállás[—Nyíregyháza],Tiszalök,Nyíregyháza,3,['Görögszállás[']
645,117 Tiszalök — Görögszállás[—Nyíregyháza],Tiszalök,Nyíregyháza,3,['Görögszállás[']
665,121 Békéscsaba — Kétegyháza — Mezőhegyes — Újszeged,Békéscsaba,Újszeged,4,"['Kétegyháza', 'Mezőhegyes']"
666,121 Békéscsaba — Kétegyháza — Mezőhegyes — Újszeged,Békéscsaba,Újszeged,4,"['Kétegyháza', 'Mezőhegyes']"
667,121 Újszeged — Mezőhegyes — Kétegyháza — Békéscsaba,Újszeged,Békéscsaba,4,"['Mezőhegyes', 'Kétegyháza']"
668,121 Újszeged — Mezőhegyes — Kétegyháza — Békéscsaba,Újszeged,Békéscsaba,4,"['Mezőhegyes', 'Kétegyháza']"
669,125 Mezőtúr — Orosháza — Mezőhegyes — Battonya,Mezőtúr,Battonya,4,"['Orosháza', 'Mezőhegyes']"
670,125 Mezőtúr — Orosháza — Mezőhegyes — Battonya,Mezőtúr,Battonya,4,"['Orosháza', 'Mezőhegyes']"
671,125 Battonya — Mezőhegyes — Orosháza — Mezőtúr,Battonya,Mezőtúr,4,"['Mezőhegyes', 'Orosháza']"
672,125 Battonya — Mezőhegyes — Orosháza — Mezőtúr,Battonya,Mezőtúr,4,"['Mezőhegyes', 'Orosháza']"
673,127 Vésztő — Gyoma,Vésztő,Gyoma,2,[]
673,127 Gyoma — Vésztő,Gyoma,Vésztő,2,[]
674,128 Békéscsaba — Kötegyán — Vésztő — Püspökladány,Békéscsaba,Püspökladány,4,"['Kötegyán', 'Vésztő']"
675,128 Békéscsaba — Kötegyán — Vésztő — Püspökladány,Békéscsaba,Püspökladány,4,"['Kötegyán', 'Vésztő']"
676,128 Békéscsaba — Kötegyán — Vésztő — Püspökladány,Békéscsaba,Püspökladány,4,"['Kötegyán', 'Vésztő']"
677,128 Püspökladány — Vésztő — Kötegyán — Békéscsaba,Püspökladány,Békéscsaba,4,"['Vésztő', 'Kötegyán']"
678,128 Püspökladány — Vésztő — Kötegyán — Békéscsaba,Püspökladány,Békéscsaba,4,"['Vésztő', 'Kötegyán']"
679,128 Püspökladány — Vésztő — Kötegyán — Békéscsaba,Püspökladány,Békéscsaba,4,"['Vésztő', 'Kötegyán']"
680,130 Szolnok — Hódmezővásárhely,Szolnok,Hódmezővásárhely,2,[]
681,130 Szolnok — Hódmezővásárhely,Szolnok,Hódmezővásárhely,2,[]
682,130 Hódmezővásárhely — Szolnok,Hódmezővásárhely,Szolnok,2,[]
683,130 Hódmezővásárhely — Szolnok,Hódmezővásárhely,Szolnok,2,[]
694,135 Szeged — Békéscsaba,Szeged,Békéscsaba,2,[]
695,135 Szeged — Békéscsaba,Szeged,Békéscsaba,2,[]
696,135 Békéscsaba — Szeged,Békéscsaba,Szeged,2,[]
697,135 Békéscsaba — Szeged,Békéscsaba,Szeged,2,[]
703,140 Szeged — Cegléd[— Budapest],Szeged,Budapest,3,['Cegléd[']
704,140 Szeged — Cegléd[— Budapest],Szeged,Budapest,3,['Cegléd[']
705,140 Szeged — Cegléd[— Budapest],Szeged,Budapest,3,['Cegléd[']
706,140 Szeged — Cegléd[— Budapest],Szeged,Budapest,3,['Cegléd[']
707,142 Budapest — Lajosmizse — Kecskemét,Budapest,Kecskemét,3,['Lajosmizse']
708,142 Budapest — Lajosmizse — Kecskemét,Budapest,Kecskemét,3,['Lajosmizse']
709,142 Budapest — Lajosmizse — Kecskemét,Budapest,Kecskemét,3,['Lajosmizse']
710,142 Kecskemét — Lajosmizse — Budapest,Kecskemét,Budapest,3,['Lajosmizse']
711,142 Kecskemét — Lajosmizse — Budapest,Kecskemét,Budapest,3,['Lajosmizse']
712,142 Kecskemét — Lajosmizse — Budapest,Kecskemét,Budapest,3,['Lajosmizse']
713,145 Kecskemét — Szolnok,Kecskemét,Szolnok,2,[]
714,145 Szolnok — Kecskemét,Szolnok,Kecskemét,2,[]
715,145 Kecskemét — Szolnok,Kecskemét,Szolnok,2,[]
716,145 Szolnok — Kecskemét,Szolnok,Kecskemét,2,[]
717,146 Kiskunfélegyháza — Kunszentmárton,Kiskunfélegyháza,Kunszentmárton,2,[]
718,146 Kiskunfélegyháza — Kunszentmárton,Kiskunfélegyháza,Kunszentmárton,2,[]
719,147 Kiskunfélegyháza — Orosháza,Kiskunfélegyháza,Orosháza,2,[]
720,147 Kiskunfélegyháza — Orosháza,Kiskunfélegyháza,Orosháza,2,[]
721,147 Orosháza — Kiskunfélegyháza,Orosháza,Kiskunfélegyháza,2,[]
722,147 Orosháza — Kiskunfélegyháza,Orosháza,Kiskunfélegyháza,2,[]
723,154 Baja — Kiskunhalas,Baja,Kiskunhalas,2,[]
723,155 Kiskunhalas — Kiskunfélegyháza[— Kecskemét],Kiskunhalas,Kecskemét,3,['Kiskunfélegyháza[']
724,154 Kiskunhalas — Baja,Kiskunhalas,Baja,2,[]
