id,name,city,country,operator,source,latitude,longitude
wd_Q116978605,Dör megállóhely,,Hungary,Győr–Sopron–Ebenfurti Vasút,Wikidata,47.610847,17.277378
wd_Q22002127,Dúzs megállóhely,Dúzs,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.49419,18.377448
wd_Q22053992,Ebes vasútállomás,Ebes,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.462611,21.488646
wd_Q21924506,Ecser megállóhely,Ecser,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.440568,19.314847
wd_Q2635058,Ecseri út,Budapest,Hungary,,Wikidata,47.471388888,19.11
wd_Q22073975,Edelény alsó megállóhely,Edelény,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.278786111,20.760941666
wd_Q22073976,Edelény vasútállomás,Edelény,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.299694444,20.749430555
wd_Q21877064,Eger vasútállomás,Eger,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.89185,20.381595
wd_Q22040984,Eger-Felnémet vasútállomás,Eger,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.936549,20.370654
wd_Q102245359,Eger-Rendező vasútállomás,Eger,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.878805555,20.393361111
wd_Q54864587,Eger-Tihamér vasútállomás,Eger,Hungary,,Wikidata,47.888807,20.396915
wd_Q22076223,Egerfarmos megállóhely,Egerfarmos,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.711516666,20.522447222
